Stock,minute_of_day,spread_bps,depth_gbp,volume
EXPN.L,935,5.8991936520161685,20966.795078125,3710.119834546875
EXPN.L,936,5.607386835197728,19979.31515625,4210.5894963323435
EXPN.L,937,5.876023259984964,23773.29921875,7192.923904260938
EXPN.L,938,5.924839387530432,21166.35875,4716.961066227813
EXPN.L,939,6.023041881352076,24669.997109375,3934.03246781
EXPN.L,940,6.243091517168965,24301.55796875,4760.746345726407
EXPN.L,941,6.363656997529485,25410.14734375,5060.437744764063
EXPN.L,942,5.7693570550046696,29896.166796875,3752.8950089421874
EXPN.L,943,5.813735870251731,25068.58046875,4539.2683871875
EXPN.L,944,6.470942158726577,26704.89796875,3559.336084925
EXPN.L,945,6.007938289628325,24961.482265625,3322.726433011094
EXPN.L,946,6.266369309380949,26082.98140625,5281.994054972188
EXPN.L,947,5.3656371284772275,25809.451171875,4112.9358773110935
EXPN.L,948,5.825659208886989,23739.654140625,3216.801686920156
EXPN.L,949,5.428332584156294,23472.87203125,5323.248497847344
EXPN.L,950,5.255422118022764,22055.70203125,17120.92848498125
EXPN.L,951,5.182894000662919,22851.38296875,4746.080560096875
EXPN.L,952,5.246196011045935,24270.0746875,3684.199506021094
EXPN.L,953,5.75816313679394,26651.124375,9378.745879684062
EXPN.L,954,5.354248079512629,23250.26765625,4450.198686399532
EXPN.L,955,5.247062366000905,31867.543515625002,4453.3935762451565
EXPN.L,956,5.498195752619802,26077.18421875,4499.3718752318755
EXPN.L,957,5.09605175574064,24891.220703125,3876.2625474215624
EXPN.L,958,5.413232449450087,24049.77734375,5300.99895181375
EXPN.L,959,5.444516175448408,44135.80546875,3904.3558180421874
EXPN.L,960,5.627409687208414,26646.8228125,9482.648408634375
EXPN.L,961,5.670599655579593,39394.083359375,8391.230700059376
EXPN.L,962,5.140585825968097,26838.1575,5946.321966970312
EXPN.L,963,5.5994593145917735,27122.8440625,5872.797949875313
EXPN.L,964,5.5958597740404485,29197.51828125,5364.615801801562
EXPN.L,965,5.29243495261944,27320.224140625,6168.232679422813
EXPN.L,966,5.716826456589167,29122.68546875,6633.748939558125
EXPN.L,967,5.026073772776185,27770.912031249998,4897.724389056719
EXPN.L,968,5.1981372053423485,25675.25859375,4699.345046892187
EXPN.L,969,5.476928387390846,29440.690078125,11453.53467183203
EXPN.L,970,5.28908728756438,27315.341796875,4685.881913640625
EXPN.L,971,5.282102859247553,25505.644296875,6382.81792628125
EXPN.L,972,4.862409598540482,31698.87765625,4978.137625892187
EXPN.L,973,5.605389937398112,34386.2946875,5779.964154165625
EXPN.L,974,5.139708743551569,36195.216328125,4658.789177990625
EXPN.L,975,4.993471233635164,43616.283046875,6901.2343455375
EXPN.L,976,4.6750233896479045,34868.99828125,7874.335086515624
EXPN.L,977,5.139615861569363,41152.800546875,6195.9064903625
EXPN.L,978,5.150995172003417,30791.336953125,13866.92022754375
EXPN.L,979,4.7284867527787435,35167.223671875,5629.971886950469
EXPN.L,980,4.704928280478279,35332.4484375,8362.856255023438
EXPN.L,981,4.992571559678327,33474.35390625,7470.023672100313
EXPN.L,982,4.600915172457808,36406.171015625,6837.266985278281
EXPN.L,983,4.8761253343585,32586.196171875,6568.424703471875
EXPN.L,984,4.613464063956921,33551.96046875,11567.54265409375
EXPN.L,985,4.499833274360686,31013.415234375,7397.95061475
KGF.L,495,13.786411897934673,3976.222655737705,4838.746323415738
KGF.L,496,14.195994021054235,4570.0630158730155,4289.0697031749205
KGF.L,497,14.138193736383418,5206.575967213115,5083.063136152459
KGF.L,498,13.803752504997792,4749.3016796875,3820.7050008795313
KGF.L,499,13.56065618597469,4449.5852265625,3947.034334175781
KGF.L,500,13.971215676317248,4683.7735625,3682.6320157329687
KGF.L,501,13.54861305101685,4584.89896875,4700.135737869219
KGF.L,502,13.359131894295064,4794.786443548387,2978.1005980014515
KGF.L,503,13.305191918927795,4371.871261904762,3381.833066735238
KGF.L,504,13.112503410307683,4647.456790322581,2166.348704584355
KGF.L,505,12.890605698299893,5156.302166666666,3212.4000890419047
KGF.L,506,13.430656571705478,5329.555746031746,3836.160756243016
KGF.L,507,12.920042578712382,5482.095150793651,3643.9276825807938
KGF.L,508,12.162542597482348,4887.6983125,2760.2009659007813
KGF.L,509,12.419222155687994,5464.1761328125,2995.48839955125
KGF.L,510,12.104888369681563,5322.0142578125,5309.142968922031
KGF.L,511,11.70028478847679,4476.467341269841,4306.489791109365
KGF.L,512,12.12469278338769,4889.516290322581,3424.995311008387
KGF.L,513,11.651689038025689,4710.3422016129025,2275.742564387258
KGF.L,514,11.404416964632475,4317.1753046875,2929.3305097395314
KGF.L,515,11.999918545983698,5054.466111111111,3610.3402539333333
KGF.L,516,11.271236805135272,4960.7586249999995,3141.1113889882813
KGF.L,517,11.16294801422938,5035.330190476191,6082.553543953651
KGF.L,518,12.083051586385626,5260.944658730159,2999.774418040476
KGF.L,519,11.739474397206234,5174.120746031746,3292.8738792469844
KGF.L,520,11.007196095423783,4795.3658203125,2771.69971276375
KGF.L,521,10.874913375678949,4664.8593359375,2213.2318294629686
KGF.L,522,11.20028206808954,5182.672203125,2681.1906154090625
KGF.L,523,11.42132510241039,5135.924546875,2581.3236893928124
KGF.L,524,11.085369168854333,4571.3078828125,1849.6997749535938
KGF.L,525,11.32872881363447,5017.492421875,2256.360959683125
KGF.L,526,10.994731583352044,5043.005277777778,3044.762958088889
KGF.L,527,11.113950711061426,5511.652596774194,2141.4903021748387
KGF.L,528,10.77893222002704,4899.0887421875,2758.1260717264063
KGF.L,529,11.247211998760005,5173.533298387097,3041.3300973603223
KGF.L,530,10.683117448799871,4835.3101484375,2092.9905532403127
KGF.L,531,10.874140810110362,5095.072547619048,3289.3893145042857
KGF.L,532,10.252597437133359,5511.107277777778,6896.302346128254
KGF.L,533,10.59426158426377,5049.751380952381,3022.8776930366666
KGF.L,534,10.170284273633149,4621.309785714285,3205.372179703016
KGF.L,535,10.906927500876911,5867.683262295082,2734.859363016721
KGF.L,536,10.721164657941339,5148.6184296875,1622.1626875903125
KGF.L,537,10.663466623140263,6044.7165,2767.4902168927415
KGF.L,538,10.397744570397318,5360.3017890625,3022.2327398025
KGF.L,539,11.07505081649465,6109.92769047619,5678.6817029947615
KGF.L,540,10.435557496697943,5344.697857142857,2883.6790324666667
KGF.L,541,10.073563636567062,4798.302265625,3581.038947890625
KGF.L,542,10.85038181022657,4923.388828125,2367.306155432344
KGF.L,543,10.625461043096974,5291.970120967742,4260.048772984193
KGF.L,544,10.216933392354585,4477.109166666667,3231.4530979220635
KGF.L,545,10.70440716269584,4929.530338709677,2547.126955266129
KGF.L,546,10.594922177372926,5393.115258064517,20854.37447253548
KGF.L,547,10.263930144363014,5225.3802421875,3279.915558586719
KGF.L,548,10.130413084365053,5034.368701612903,2837.1437300304838
KGF.L,549,10.128898038683378,5159.505442622951,2367.742958286885
KGF.L,550,10.605073392932686,5226.063338709678,2925.014979860484
KGF.L,551,10.31456779636484,5449.221640625,2442.2823224309377
KGF.L,552,10.534433044461043,5731.240515873016,2569.8431999626982
KGF.L,553,10.704903892818098,5701.488666666667,4373.740287923333
KGF.L,554,10.089243171564398,5157.32515079365,6161.344138951111
KGF.L,555,10.25895680208882,5420.174540322581,1984.5077837896774
KGF.L,556,9.984159353595171,4736.651703125,2093.5673239759376
KGF.L,557,10.098558247414676,5616.472261904762,3297.9436177377775
KGF.L,558,9.865144464726217,4981.554047619048,1946.118346439365
KGF.L,559,10.620185658312185,6160.790201612903,2418.411041785484
KGF.L,560,9.90207848803642,5319.333722222223,2172.3390515222222
KGF.L,561,10.534743537111032,5514.894626984127,3543.7515068068255
KGF.L,562,9.91400123391697,5143.180540322581,2645.4068755359676
KGF.L,563,10.026751326930155,5540.5967734375,2259.021079598281
KGF.L,564,9.898683240152627,5393.5757539682545,3901.05106791254
KGF.L,565,9.637142457120841,5169.0613984375,1584.5563955373439
KGF.L,566,9.730784744903355,5278.1461746031755,2530.1555221685717
KGF.L,567,10.10721812051174,7390.884817460317,2526.7089491765078
KGF.L,568,10.030755217471869,5542.36746875,4665.93213102125
KGF.L,569,9.661789580852032,6150.722476190476,5218.770821558889
KGF.L,570,9.811405458547656,5580.624611111111,3497.4486644882536
KGF.L,571,9.20092890397058,5390.251452380952,1893.3131539985716
KGF.L,572,9.721697168913382,5563.753734375,2589.05817487875
KGF.L,573,9.74580156533255,5378.137222222223,2766.980354479365
KGF.L,574,9.622599122000546,5871.279919354838,3193.3899545112904
KGF.L,575,9.414992749607269,5378.101375,2074.5837217953126
KGF.L,576,9.373513199617586,5049.821225806452,2654.5458256685483
KGF.L,577,9.628170543802451,6450.33689516129,1851.3779308020967
KGF.L,578,9.625468443764944,5585.976928571428,1807.2304676046033
KGF.L,579,9.458771805829052,5698.087111111111,1762.1048955863494
KGF.L,580,9.577932738285684,5383.608266129033,2977.031694873548
KGF.L,581,9.10859888396966,5846.175008064516,1999.1444689496775
KGF.L,582,9.70637978679634,6100.96275,2833.0121814995314
KGF.L,583,9.232881404058418,5989.460428571429,2336.4139256403173
KGF.L,584,8.848834361083636,5625.124580645161,4355.033561429839
KGF.L,585,9.516925913387968,5712.528754098361,3878.5111346180324
KGF.L,586,9.28697818802305,6435.082238095238,5554.236596257143
KGF.L,587,9.373702158517705,5607.943836065574,3633.512701463115
KGF.L,588,9.41597459229847,5628.1354921875,2642.8538449679686
KGF.L,589,8.871271065482098,5383.8462421875,1736.988327203125
KGF.L,590,9.06225903828118,5385.000492063492,2272.357881755556
KGF.L,591,8.895583758968591,5332.41078125,4906.79027485625
KGF.L,592,9.424150904783883,5247.5875163934425,1863.5775610986886
KGF.L,593,9.255950151782013,5807.961991935484,22072.876183399356
KGF.L,594,9.04098960989424,6323.004172131147,2209.1858922978686
KGF.L,595,9.31400759451581,5829.509317460317,5509.022235650635
KGF.L,596,9.496697734904773,5378.023233333332,4341.7967233425
KGF.L,597,9.183244605479915,6113.637119047619,2256.2527282726983
KGF.L,598,9.209295950713088,6497.48992063492,1956.371670334603
KGF.L,599,9.089959592084613,6095.1780234375,24881.035423583126
KGF.L,600,8.680207393941249,4839.880642857143,4895.261675337302
KGF.L,601,8.914528607840007,5214.2020555555555,2592.1309912471424
KGF.L,602,8.502388861924432,5298.922555555555,13527.771531252698
KGF.L,603,8.796807458842167,5206.453484126984,1940.5569412388888
KGF.L,604,8.687640566930225,5004.23674590164,4341.272482100984
KGF.L,605,8.66130120764592,5169.071730158731,2890.819300070476
KGF.L,606,9.234607088545065,5571.582031746032,3385.1261085657143
KGF.L,607,8.937148051081552,6273.9699453124995,13431.721402729843
KGF.L,608,8.972829874897338,6525.466359375,2738.2556115876564
KGF.L,609,8.998430649525956,5908.7786328125,2312.0997761739063
KGF.L,610,8.693205455570412,5523.465661016949,1898.9154765369492
KGF.L,611,8.563099779420444,5714.504467213115,1847.6177702360658
KGF.L,612,8.719467991573731,5494.204818965517,3048.2163782005173
KGF.L,613,8.817815135341583,5823.827016393442,2445.5847854347544
KGF.L,614,8.589751907438977,5575.058703389831,2402.082825359661
